"track_genre","popularity","danceability","energy","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","pop_category"
"1","acoustic",0.42483,0.549593,0.4353681,0.741415700201617,0.043247,0.56681639833,0.03833583693,0.1532444,0.424023,0.489007050934372,"Med/High popularity"
"2","afrobeat",0.24399,0.66958,0.702812,0.772092688160109,0.0865789,0.2708599523,0.25348287056,0.184596,0.6986192,0.489839985700902,"Low/Med popularity"
"3","alt-rock",0.33943,0.534493,0.754173,0.801648280709543,0.0550705,0.12216223569,0.05409657007,0.2102486,0.5182603,0.512114803675032,"Med/High popularity"
"4","alternative",0.24337,0.559927,0.72003,0.80373310767068,0.0701007,0.14782023359,0.0381586047,0.2013763,0.4955701,0.502245098039216,"Low/Med popularity"
"5","ambient",0.44191,0.3678668,0.23716179,0.572103564360098,0.041562,0.7767899404,0.6762211611,0.1292831,0.1674982,0.456556748516674,"Med/High popularity"
"6","anime",0.48772,0.5374514,0.6741083,0.769448809721991,0.087323,0.26773437274,0.26297120969,0.197175,0.4344631,0.50757530036323,"Med/High popularity"
"7","black-metal",0.22449,0.2964109,0.8748973,0.7954141649557,0.0871562,0.02705552076,0.44084682085,0.2414203,0.1917364,0.528415409332216,"Low/Med popularity"
"8","bluegrass",0.25676,0.534692,0.5302796,0.732630098218745,0.0386903,0.556587756,0.13680780283,0.2276738,0.6350927,0.520104223164538,"Low/Med popularity"
"9","blues",0.31188,0.568567,0.5818775,0.758530843645377,0.0639181,0.3981138453,0.03409199347,0.1918301,0.6040318,0.478971911312723,"Low/Med popularity"
"10","brazil",0.4467,0.562948,0.620721,0.775556350923922,0.0959996,0.3323864701,0.01307972784,0.297962,0.4697896,0.501025771247309,"Med/High popularity"
"11","breakbeat",0.20123,0.646194,0.853275,0.804554316260659,0.0857084,0.03141016618,0.39585736039,0.2203164,0.4747443,0.546612646483572,"Low/Med popularity"
"12","british",0.43802,0.5012758,0.50712697,0.721584762221852,0.05001,0.42794293626,0.19367906512,0.1742984,0.4397141,0.488259195799024,"Med/High popularity"
"13","cantopop",0.34739,0.547909,0.4616962,0.737353716959843,0.0390832,0.5362672456,0.01261885172,0.1919454,0.3935679,0.510647629965649,"Med/High popularity"
"14","chicago-house",0.12339,0.766176,0.733215,0.746934761297005,0.0743887,0.03531044957,0.48280494636,0.137569,0.5865412,0.509190375228046,"Low popularity"
"15","children",0.35047,0.716467,0.49464518,0.742177256164105,0.0927109,0.4986771484,0.06055706371,0.1813519,0.6942874,0.506801115165261,"Med/High popularity"
"16","chill",0.53651,0.664346,0.4267229,0.722675804154412,0.1021671,0.5340969548,0.17802204236,0.1682,0.4037695,0.474497378498759,"High popularity"
"17","classical",0.13055,0.3819228,0.189827326,0.543547046963727,0.0508306,0.9200489485,0.61920762766,0.1668376,0.38105,0.443558802984731,"Low popularity"
"18","club",0.33338,0.6033541,0.7217338,0.788527921129053,0.0943238,0.15939126669,0.34782217578,0.1993685,0.3682132,0.506637279555577,"Med/High popularity"
"19","comedy",0.24628,0.577195,0.699934,0.722740635924754,0.7556253,0.726476182,0.00052477331,0.661666,0.4548455,0.414984394260638,"Low/Med popularity"
"20","country",0.17028,0.555294,0.5968052,0.781481271849509,0.042268,0.321226736,0.00558462043,0.1772382,0.5214813,0.50935730897556,"Low/Med popularity"
"21","dance",0.2269,0.687856,0.708583,0.816981540055121,0.0876378,0.1311856039,0.00835941532,0.1681884,0.5525414,0.493599534868432,"Low/Med popularity"
"22","dancehall",0.33467,0.734169,0.685262,0.802971385235743,0.1869861,0.215493569,0.00713402996,0.1567694,0.6290086,0.463939910918265,"Med/High popularity"
"23","death-metal",0.32169,0.3684109,0.93147,0.817207572646727,0.1112591,0.0066957065,0.27573075265,0.2432416,0.2476111,0.508600069030127,"Low/Med popularity"
"24","deep-house",0.44808,0.710448,0.741855,0.787220446516102,0.0599097,0.10145172488,0.23761450877,0.1708076,0.4472821,0.496667258353467,"Med/High popularity"
"25","detroit-techno",0.11174,0.722568,0.7105124,0.711115846327433,0.0727167,0.06564069706,0.6995483518,0.1545091,0.4692299,0.520159402067617,"Low popularity"
"26","disco",0.33522,0.676692,0.737565,0.778887002201136,0.0592516,0.1662128304,0.08095198711,0.1953252,0.6707538,0.501184934996631,"Med/High popularity"
"27","disney",0.27536,0.4628742,0.30251886,0.639273384754823,0.0748771,0.7428922646,0.38355346894,0.1685303,0.3685574,0.460450889995562,"Low/Med popularity"
"28","drum-and-bass",0.26657,0.535486,0.876635,0.839231563176294,0.0916362,0.02593057556,0.37143774644,0.2205559,0.3214739,0.637878276876551,"Low/Med popularity"
"29","dub",0.40039,0.575321,0.714817,0.804267428740543,0.097296,0.1224407862,0.08852665393,0.1895502,0.3867285,0.531904438472791,"Med/High popularity"
"30","dubstep",0.42317,0.518087,0.758969,0.822514233394373,0.0903804,0.1136410973,0.09307878863,0.1996265,0.2717089,0.549084155120556,"Med/High popularity"
"31","edm",0.35032,0.64822,0.756196,0.818500675138265,0.070386,0.114270248,0.04005284525,0.1929672,0.4651983,0.501443465148004,"Med/High popularity"
"32","electro",0.36075,0.651749,0.665,0.802854003662394,0.0794304,0.227599936,0.03772335086,0.1850172,0.4667433,0.496503537793994,"Med/High popularity"
"33","electronic",0.44325,0.652945,0.6947523,0.784048924403011,0.0817678,0.1770264691,0.24869727176,0.1907763,0.3918389,0.505184815837483,"Med/High popularity"
"34","emo",0.48128,0.599321,0.6699669203,0.79189795238888,0.1089572,0.1950806663,0.03028117864,0.1837376,0.441135,0.521804657068192,"Med/High popularity"
"35","folk",0.38006,0.558514,0.545807,0.749102805985609,0.0587055,0.475332133,0.03767461184,0.1761066,0.4906028,0.486783713820817,"Med/High popularity"
"36","forro",0.41826,0.649776,0.789526,0.821426835358748,0.0571891,0.39757555,0.0012565736,0.2949711,0.7606934,0.576739300330358,"Med/High popularity"
"37","french",0.41067,0.6514676,0.5949902,0.752461424634223,0.1266466,0.34971259679,0.15883940872,0.1744812,0.4299395,0.484115206350772,"Med/High popularity"
"38","funk",0.32322,0.678184,0.632999,0.79586878271646,0.1516485,0.2996570331,0.00779820822,0.1805569,0.5996525,0.483851153789261,"Low/Med popularity"
"39","garage",0.40933,0.4842644,0.74435,0.794950594676581,0.0659337,0.16750723036,0.18986973912,0.2126866,0.5180332,0.522032998865934,"Med/High popularity"
"40","german",0.26751,0.5243375,0.53171768,0.706809906960398,0.0975087,0.38183399837,0.28890127507,0.1963818,0.379078,0.482814181582105,"Low/Med popularity"
"41","gospel",0.41639,0.473298,0.5762564,0.783077243216248,0.0412708,0.376890543,0.00330670977,0.2986686,0.3206412,0.516185621188962,"Med/High popularity"
"42","goth",0.28913,0.478875,0.7409699202,0.783711373767641,0.0730923,0.16407584244,0.11941419645,0.2303572,0.443546,0.510607625363641,"Low/Med popularity"
"43","grindcore",0.14625,0.2718537,0.924201,0.800787729130829,0.1374715,0.0086983045,0.53845566901,0.2812347,0.2164336,0.489908103643804,"Low popularity"
"44","groove",0.37825,0.58391,0.7636218,0.79762525202079,0.0707264,0.1316428056,0.14554150927,0.2311153,0.4264725,0.508436512828099,"Med/High popularity"
"45","grunge",0.49594,0.457062,0.80329,0.811461443131162,0.0610544,0.05344148973,0.03698348895,0.2221261,0.400373,0.531487632102296,"Med/High popularity"
"46","guitar",0.29526,0.5400374,0.3249991859,0.656272903834415,0.0514369,0.773052655,0.51615441929,0.1496743,0.4322858,0.460201826832996,"Low/Med popularity"
"47","happy",0.21716,0.552847,0.910971,0.815980152784714,0.1198609,0.0572435269,0.26364107857,0.2841428,0.3274675,0.628293156156008,"Low/Med popularity"
"48","hard-rock",0.42775,0.48225,0.795039,0.791372990770028,0.0664507,0.09038445053,0.04961711851,0.22126,0.5143641,0.515185793764279,"Med/High popularity"
"49","hardcore",0.36105,0.546411,0.842453,0.809324972717015,0.1493543,0.06491318171,0.06889598401,0.2351736,0.4962738,0.515162442680341,"Med/High popularity"
"50","hardstyle",0.26623,0.539229,0.901246,0.835784492166546,0.122424,0.0511382233,0.14268751914,0.2570746,0.3118884,0.603345709448909,"Low/Med popularity"
"51","heavy-metal",0.26226,0.4284997,0.874003,0.809696724192146,0.074557,0.01496797801,0.08255638091,0.2795502,0.3882028,0.520248455040021,"Low/Med popularity"
"52","hip-hop",0.37759,0.736154,0.68253,0.805530233246398,0.1303534,0.194174963,0.0109065493,0.1926446,0.5512478,0.479798752526996,"Med/High popularity"
"53","honky-tonk",0.16355,0.571223,0.3669569,0.698618574625899,0.0372219,0.7120060718,0.05709471099,0.1904161,0.631621,0.478924769488684,"Low popularity"
"54","house",0.34156,0.668534,0.755083,0.818804579842036,0.0693883,0.108655858,0.03799165293,0.1879849,0.4946745,0.497620724651973,"Med/High popularity"
"55","idm",0.15766,0.5278375,0.55539895,0.686645413684035,0.0754502,0.37767211412,0.67493109684,0.1683177,0.3025475,0.50662104514899,"Low popularity"
"56","indian",0.49539,0.592273,0.567121,0.752458354142389,0.0721358,0.484919069,0.03940822574,0.1729221,0.463024,0.477223978107588,"Med/High popularity"
"57","indie",0.38895,0.587272,0.5561919,0.762907922238869,0.0626551,0.38038630683,0.05280611277,0.1603606,0.4679571,0.489347385894844,"Med/High popularity"
"58","indie-pop",0.40657,0.60437,0.5611395,0.768259123615042,0.0658611,0.37235657733,0.04193259534,0.1674189,0.4606154,0.493807870256233,"Med/High popularity"
"59","industrial",0.31041,0.530416,0.8617453,0.804738934206389,0.0868167,0.03672752687,0.19203051923,0.2329869,0.4248738,0.521141318639778,"Low/Med popularity"
"60","iranian",0.0221,0.300686,0.5458459026,0.674225570168137,0.0910141,0.41092916465,0.58984838166,0.1920508,0.1535364,0.4715799845504,"Low popularity"
"61","j-dance",0.26656,0.680557,0.7037546,0.80409818175092,0.2204054,0.2304690886,0.03067018381,0.18385,0.5643654,0.472182066959223,"Low/Med popularity"
"62","j-idol",0.24707,0.548819,0.8686773,0.84641594066182,0.0694834,0.15150795199,0.03723634038,0.2293279,0.5775307,0.559275528820078,"Low/Med popularity"
"63","j-pop",0.41143,0.551678,0.6796042,0.800012189482641,0.059367,0.28208791462,0.0115788108,0.1985291,0.5415591,0.512027328534096,"Med/High popularity"
"64","j-rock",0.40664,0.509069,0.760684,0.810856685718514,0.0644018,0.16859578103,0.0234557353,0.2236261,0.5377492,0.528090503426853,"Med/High popularity"
"65","jazz",0.13628,0.509975,0.35295443,0.702000166472449,0.055013,0.715815707,0.07956107897,0.1700251,0.490289,0.462816055256973,"Low popularity"
"66","k-pop",0.56896,0.647732,0.675654,0.796482344671957,0.0880245,0.292968194,0.00982844532,0.1762963,0.5569152,0.489965850631954,"High popularity"
"67","kids",0.14888,0.778906,0.6131286,0.765991731868376,0.1528456,0.2386349012,0.0197203884,0.1720335,0.6808638,0.500265868711273,"Low popularity"
"68","latin",0.08297,0.721902,0.72708,0.818811460703254,0.0931231,0.183373435,0.00917700209,0.1742917,0.631149,0.492300975461433,"Low popularity"
"69","latino",0.25656,0.757057,0.7317965,0.820414645876107,0.1144216,0.17220078,0.00806694413,0.1731817,0.6302008,0.490546147461499,"Low/Med popularity"
"70","malay",0.30358,0.628617,0.5783966,0.761285814697667,0.0809715,0.404123097,0.00885122145,0.1731763,0.5015049,0.4902567468731,"Low/Med popularity"
"71","mandopop",0.45025,0.546532,0.4984339,0.764926382183749,0.0394875,0.4802883056,0.00370949509,0.1593046,0.3501643,0.507354609404533,"Med/High popularity"
"72","metal",0.43705,0.464288,0.840273,0.815817860644063,0.0702606,0.03708486334,0.06460309569,0.2051581,0.4179356,0.525563602222113,"Med/High popularity"
"73","metalcore",0.43477,0.4238,0.914485,0.833718180641104,0.1102598,0.01028573078,0.04569475021,0.2581804,0.3149018,0.536545679042782,"Med/High popularity"
"74","minimal-techno",0.34022,0.729395,0.680272,0.735425152137321,0.0625747,0.07093270167,0.74453848094,0.1354632,0.2836202,0.512581439113785,"Med/High popularity"
"75","mpb",0.40792,0.574088,0.5797871706,0.747657214730962,0.0565688,0.420858189,0.01545890876,0.3394639,0.5564338,0.493734098417238,"Med/High popularity"
"76","new-age",0.29065,0.3484546,0.21450062,0.573600003699388,0.0456587,0.824022422,0.71302090279,0.2004907,0.1831672,0.443595590289762,"Low/Med popularity"
"77","opera",0.24621,0.3135631,0.317054,0.66506337051218,0.0464342,0.79493148246,0.16291521127,0.2198334,0.2152252,0.433840203474516,"Low/Med popularity"
"78","pagode",0.44298,0.577723,0.712123,0.781722009507426,0.0627869,0.53837212,0.0005658295,0.5198638,0.687978,0.521256792071397,"Med/High popularity"
"79","party",0.20982,0.667191,0.871237,0.834565765865749,0.0873481,0.0927352256,0.00168788099,0.28773885,0.6812349,0.539504634879937,"Low/Med popularity"
"80","piano",0.45273,0.4550983,0.320102564,0.601465364482178,0.0468513,0.704978913,0.51640990172,0.1448621,0.3132662,0.485202381539372,"Med/High popularity"
"81","pop",0.47576,0.630441,0.606437,0.787544734846383,0.0799752,0.34369251,0.00902630391,0.1582558,0.5062227,0.496881617441612,"Med/High popularity"
"82","pop-film",0.59283,0.597146,0.6045619,0.77057096350554,0.064057,0.440695616,0.00812373181,0.166397,0.5292533,0.481803486021399,"High popularity"
"83","power-pop",0.26898,0.47341,0.801688,0.792686772839095,0.0579358,0.08551097744,0.06388665367,0.2232462,0.614569,0.553274883717108,"Low/Med popularity"
"84","progressive-house",0.46615,0.623935,0.813359,0.815892162847049,0.0676695,0.06138703639,0.20048227569,0.2093309,0.3653001,0.514001758624657,"Med/High popularity"
"85","psych-rock",0.42778,0.502554,0.5615028,0.731484656789301,0.0473149,0.31522801724,0.09181969097,0.2026305,0.564732,0.499535686110152,"Med/High popularity"
"86","punk",0.38291,0.499778,0.809673,0.810231230231397,0.064181,0.08912129745,0.03888575537,0.2159331,0.5555907,0.548955993294216,"Med/High popularity"
"87","punk-rock",0.38236,0.507329,0.80998,0.806734716904352,0.0635081,0.08259563892,0.03218837973,0.2366689,0.5669669,0.543279526814917,"Med/High popularity"
"88","r-n-b",0.36687,0.614388,0.6381296706,0.776715239627842,0.0892185,0.3705621442,0.00995565703,0.2621831,0.6331639,0.509668076031754,"Med/High popularity"
"89","reggae",0.2063,0.745331,0.725791,0.818278767364001,0.1154054,0.175950025,0.00280537597,0.1883296,0.647529,0.492528318787699,"Low/Med popularity"
"90","reggaeton",0.23858,0.758521,0.738728,0.823925346355178,0.1209521,0.16476341,0.0027859232,0.1703853,0.6427535,0.488439109675723,"Low/Med popularity"
"91","rock",0.19001,0.543609,0.6790711,0.792899376653164,0.0499229,0.2092416611,0.02097829694,0.1725127,0.5389026,0.519045896816396,"Low/Med popularity"
"92","rock-n-roll",0.34434,0.550302,0.5266152,0.742640937424856,0.0513818,0.553345177,0.01422118779,0.227312,0.67049,0.494674888647831,"Med/High popularity"
"93","rockabilly",0.315,0.561202,0.6593719,0.764451676747498,0.0595629,0.44698917326,0.0252293276,0.2289194,0.726951,0.508113649063984,"Low/Med popularity"
"94","romance",0.03245,0.4321332,0.2943038,0.671906368496014,0.0648153,0.8694951,0.05377302979,0.2107734,0.3934147,0.450721742846342,"Low popularity"
"95","sad",0.52379,0.692378,0.4624701,0.726115494885596,0.1304311,0.473710126,0.10574007977,0.1716106,0.4220495,0.489230272997715,"High popularity"
"96","salsa",0.28066,0.668288,0.724518,0.788132012651906,0.0561603,0.46924546,0.01254381249,0.1823286,0.814838,0.492723439836957,"Low/Med popularity"
"97","samba",0.38826,0.574897,0.6726435,0.759129312098848,0.0836434,0.48990308,0.00735576425,0.4431924,0.6934091,0.48535723501471,"Med/High popularity"
"98","sertanejo",0.47866,0.591647,0.710391,0.814707933337033,0.0648653,0.43662082,0.00016029266,0.4742244,0.619325,0.522049360649541,"Med/High popularity"
"99","show-tunes",0.31246,0.4637381,0.39874176,0.718574477923903,0.108183,0.6371923265,0.03786859097,0.2156084,0.3788129,0.469948128790494,"Low/Med popularity"
"100","singer-songwriter",0.37813,0.562022,0.4341884,0.735280857518081,0.0514857,0.552753542,0.02789156575,0.1501931,0.4142976,0.491993006590733,"Med/High popularity"
"101","ska",0.35126,0.580676,0.793134,0.798663799641159,0.0721267,0.12157530015,0.03011484573,0.2714103,0.69672,0.527334044179281,"Med/High popularity"
"102","sleep",0.35071,0.1679225,0.3420717167,0.468655383534025,0.056847,0.65725270108,0.72353913501,0.3577362,0.058187871,0.347696082540309,"Med/High popularity"
"103","songwriter",0.37813,0.562022,0.4341884,0.735280857518081,0.0514857,0.552753542,0.02789156575,0.1501931,0.4142976,0.491993006590733,"Med/High popularity"
"104","soul",0.19795,0.600112,0.5338726,0.762933873443945,0.0600308,0.4015648954,0.01363626904,0.1819059,0.5233104,0.471003932251861,"Low/Med popularity"
"105","spanish",0.37922,0.60431,0.707777,0.796189741597766,0.0873142,0.26875821868,0.01730288238,0.2236962,0.5484961,0.504710636392025,"Med/High popularity"
"106","study",0.26108,0.68524,0.4106581,0.715428666555685,0.1000384,0.530638808,0.7897574537,0.1612922,0.4027009,0.459230457899841,"Low/Med popularity"
"107","swedish",0.37175,0.590413,0.6220025,0.772330003884357,0.0648112,0.32420006772,0.02216727505,0.1903963,0.5329407,0.497569658793945,"Med/High popularity"
"108","synth-pop",0.36576,0.620663,0.7131349,0.764411131457744,0.0483371,0.15232235625,0.082324048,0.18416916,0.5863771,0.504782933122956,"Med/High popularity"
"109","tango",0.19871,0.537862,0.372828,0.730048998390766,0.0798359,0.846208935,0.13971501043,0.2303476,0.5835295,0.470696382492645,"Low/Med popularity"
"110","techno",0.39042,0.684348,0.746413,0.766755932893106,0.0642115,0.08141377308,0.5400382181,0.1594341,0.3218783,0.526993581841789,"Med/High popularity"
"111","trance",0.37635,0.583409,0.845272,0.799091596840723,0.0797055,0.0358702953,0.42350094276,0.2343574,0.2768808,0.547625552651907,"Med/High popularity"
"112","trip-hop",0.3446,0.634695,0.622363,0.745261731683406,0.0763031,0.22561481075,0.38376133848,0.1903421,0.4780688,0.487909932120375,"Med/High popularity"
"113","turkish",0.40698,0.616077,0.6098036,0.764039694430572,0.1050867,0.3211246845,0.0356028508,0.1807503,0.4623137,0.494582807389511,"Med/High popularity"
"114","world-music",0.41873,0.414572,0.5329867403,0.741976083458188,0.041768,0.29954666447,0.09182382283,0.2503926,0.25029526,0.498799003172099,"Med/High popularity"
